month,UA,B6,EV,DL,AA,MQ,US,9E,WN,VX,FL,YV,AS,F9,HA,OO
1,4637,4427,4171,3690,2794,2271,1602,1573,996,316,328,46,62,59,31,1
2,4346,4103,3827,3444,2517,2044,1552,1459,911,271,296,48,56,49,28,NA
3,4971,4772,4726,4189,2787,2256,1721,1627,998,303,316,18,62,57,31,NA
4,5047,4517,4561,4092,2722,2211,1727,1511,980,466,311,38,60,57,30,NA
5,4960,4576,4817,4082,2803,2284,1785,1462,1006,496,325,49,62,58,31,NA
6,4975,4622,4456,4126,2757,2178,1736,1437,1028,480,252,49,60,55,30,2
7,5066,4984,4641,4251,2882,2261,1786,1494,1076,489,263,81,62,58,31,NA
8,5124,4952,4563,4318,2856,2263,1779,1456,1047,489,263,65,62,55,31,4
9,4694,4291,4725,3883,2614,2206,1698,1540,1010,453,255,42,60,58,25,20
10,5060,4361,4908,4093,2715,2228,1846,1673,1091,472,236,66,62,57,21,NA
11,4854,4289,4471,3849,2577,2056,1699,1595,1033,451,202,49,52,61,25,5
12,4931,4741,4307,4093,2705,2139,1605,1633,1099,476,213,50,54,61,28,NA
